Equipo,P_Campeon_Media,P_Campeon_Min,P_Campeon_Max,IC_95_Ancho
Inglaterra,20.7,20.1,21.5,1.2
España,15.6,15.4,15.8,0.4
Argentina,12.6,12.1,13.2,1.1
Francia,10.0,9.7,10.2,0.5
Brasil,7.0,6.4,7.4,0.9
Alemania,6.4,6.1,7.0,0.8
Bélgica,5.4,5.1,5.7,0.6
Países Bajos,4.4,3.9,4.7,0.7
Marruecos,3.0,2.5,3.4,0.8
Colombia,2.7,2.4,2.9,0.5
Portugal,2.5,2.2,2.8,0.5
Croacia,1.6,1.3,1.8,0.5
México,1.5,1.3,1.6,0.3
Argelia,1.5,1.3,1.6,0.3
Senegal,1.1,0.9,1.3,0.4
Suiza,0.8,0.7,0.9,0.2
Japón,0.6,0.5,0.8,0.3
EE. UU.,0.5,0.4,0.6,0.2
Canadá,0.5,0.3,0.6,0.3
Costa de Marfil,0.4,0.3,0.5,0.2
Ecuador,0.4,0.3,0.5,0.2
Suecia,0.2,0.1,0.3,0.2
Noruega,0.2,0.1,0.2,0.1
Australia,0.2,0.1,0.2,0.1
Egipto,0.1,0.1,0.2,0.1
Bosnia-Herzegovina,0.1,0.0,0.1,0.1
Sudáfrica,0.1,0.0,0.1,0.1
Austria,0.0,0.0,0.1,0.1
Cabo Verde,0.0,0.0,0.1,0.1
Ghana,0.0,0.0,0.0,0.0
Paraguay,0.0,0.0,0.0,0.0
RD Congo,0.0,0.0,0.0,0.0
